Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Batt_RTC","CR2032_SMD2",42.545000,-81.280000,90.000000,top
"C1","10nF,120V","C_1210",99.695000,-94.615000,90.000000,top
"C2","47nF,63V","C_1210",77.470000,-94.615000,90.000000,top
"C3","10nF,120V","C_1210",99.695000,-104.775000,90.000000,top
"C4","47nF,63V","C_1210",77.470000,-104.775000,90.000000,top
"C5","10nF,120V","C_1210",99.695000,-114.935000,90.000000,top
"C6","47nF,63V","C_1210",77.470000,-114.935000,90.000000,top
"C7","100nF","C_0805",37.719000,-61.341000,180.000000,top
"C8","100nF","C_0805",54.610000,-68.580000,0.000000,top
"C9","100nF,100V","C_0805",85.725000,-81.280000,270.000000,top
"C10","100uF,50V","CP_Elec_10x10",78.740000,-81.280000,270.000000,top
"C11","2.2uF,50V","C_0805",70.993000,-82.931000,180.000000,top
"C12","1uF","C_0805",70.866000,-78.486000,0.000000,top
"C13","3.3nF","C_0805",63.500000,-76.581000,180.000000,top
"C14","10uF","C_0805",67.310000,-82.931000,0.000000,top
"C15","4.7uF","C_0805",95.885000,-73.380600,270.000000,top
"D1","LED","LED_0603",53.340000,-92.075000,90.000000,top
"D2","LED","LED_0603",53.340000,-102.235000,90.000000,top
"D3","LED","LED_0603",53.340000,-112.395000,90.000000,top
"D4","DiodeBridge","Diode_bridge",91.440000,-81.280000,270.000000,top
"D5","CDSOD323-T05L","D_SOD-323_HandSoldering",99.695000,-74.295000,180.000000,top
"F1","Polyfuse","Fuse_SMD2920",99.568000,-81.280000,270.000000,top
"G***","LOGO","logo-warning",108.585000,-74.295000,0.000000,top
"J13","USB_microAB","USB_Micro-B_Molex-105017-0001",115.570000,-68.580000,90.000000,top
"JP1","LED_en","LED_0402",50.800000,-97.155000,90.000000,top
"JP2","LED_en","LED_0402",50.800000,-106.680000,90.000000,top
"JP3","LED_en","LED_0402",50.800000,-116.840000,90.000000,top
"JP4","GND","LED_0402",72.136000,-76.200000,180.000000,top
"L1","22uH","Inductor_ELL8TP",60.706000,-82.550000,45.000000,top
"L2","330E","R_0805",99.695000,-72.390000,180.000000,top
"L4","330E","R_0805",99.695000,-64.770000,0.000000,top
"Logo1","LOGO_WL","logo-WL3",56.007000,-122.682000,0.000000,top
"Logo2","OSHW","logo-OSHW_6mm",117.475000,-123.190000,0.000000,top
"Q1","BTA204S","DPAK-2",91.440000,-94.615000,90.000000,top
"Q2","BTA204S","DPAK-2",91.440000,-104.775000,90.000000,top
"Q3","BTA204S","DPAK-2",91.440000,-114.935000,90.000000,top
"R1","360","R_0805",71.120000,-94.615000,180.000000,top
"R2","0E","R_0805",71.120000,-97.790000,180.000000,top
"R3","200","R_0805",50.800000,-93.980000,90.000000,top
"R4","300","R_0805",53.340000,-96.520000,90.000000,top
"R5","360","R_0805",71.120000,-91.440000,180.000000,top
"R6","39","R_0805",95.250000,-92.710000,90.000000,top
"R7","360","R_0805",71.120000,-104.775000,180.000000,top
"R8","0E","R_0805",71.120000,-107.950000,180.000000,top
"R9","200","R_0805",50.800000,-102.235000,90.000000,top
"R10","300","R_0805",53.340000,-106.680000,90.000000,top
"R11","39","R_0805",95.250000,-102.870000,90.000000,top
"R12","360","R_0805",71.120000,-101.600000,180.000000,top
"R13","360","R_0805",71.120000,-114.935000,180.000000,top
"R14","0E","R_0805",71.120000,-118.110000,180.000000,top
"R15","200","R_0805",50.800000,-112.395000,90.000000,top
"R16","300","R_0805",53.340000,-116.840000,90.000000,top
"R17","360","R_0805",71.120000,-111.760000,180.000000,top
"R18","39","R_0805",95.250000,-113.030000,90.000000,top
"R19","10k","R_0805",66.675000,-38.227000,270.000000,top
"R20","10k","R_0805",69.215000,-38.227000,270.000000,top
"R21","10k","R_0805",64.135000,-38.227000,270.000000,top
"R22","10k","R_0805",61.595000,-38.227000,270.000000,top
"R23","0E","R_0805",99.695000,-70.485000,0.000000,top
"R24","0E","R_0805",99.695000,-68.580000,0.000000,top
"R25","0E","R_0805",99.695000,-66.675000,0.000000,top
"R26","10k","R_0805",54.610000,-76.200000,0.000000,top
"R27","10k","R_0805",54.610000,-73.025000,0.000000,top
"R28","4K7","R_0805",54.610000,-64.135000,0.000000,top
"R29","4K7","R_0805",54.610000,-66.040000,0.000000,top
"S1","SW-ENTER","SW_SPST_CK_KSCx",124.460000,-53.975000,270.000000,top
"S2","SW-INC","SW_SPST_CK_KSCx",116.840000,-38.735000,270.000000,top
"S3","SW-DEC","SW_SPST_CK_KSCx",116.840000,-53.975000,270.000000,top
"S4","SW-MODE","SW_SPST_CK_KSCx",109.220000,-53.975000,270.000000,top
"U1","MOC3063M","Optocoupler_6pin_smd",61.595000,-94.615000,270.000000,top
"U2","MOC3063M","Optocoupler_6pin_smd",61.595000,-104.775000,270.000000,top
"U3","MOC3063M","Optocoupler_6pin_smd",61.595000,-114.935000,270.000000,top
"U5","MAX17502FATB+T","TDFN-10",67.056000,-79.502000,90.000000,top
"U6","DS3231N","DS3231",62.230000,-68.580000,0.000000,top
