"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C4,C2";"C_1210";3;"47nF,63V";;;
2;"C1,C3,C5";"C_1210";3;"10nF,120V";;;
3;"J14";"pad_rect_smd";1;"W2";;;
4;"J12";"pad_rect_smd";1;"W1";;;
5;"J10";"pad_rect_smd";1;"Y2";;;
6;"J7";"pad_rect_smd";1;"RC";;;
7;"J9";"pad_rect_smd";1;"Y1";;;
8;"J11";"pad_rect_smd";1;"G";;;
9;"J8";"pad_rect_smd";1;"C";;;
10;"J6";"pad_rect_smd";1;"RH";;;
11;"Q1,Q2,Q3";"DPAK-2";3;"BTA204S";;;
12;"S1";"SW_SPST_CK_KSCx";1;"SW-ENTER";;;
13;"S2";"SW_SPST_CK_KSCx";1;"SW-INC";;;
14;"S3";"SW_SPST_CK_KSCx";1;"SW-DEC";;;
15;"S4";"SW_SPST_CK_KSCx";1;"SW-MODE";;;
16;"U4";"Wemos_Lolin";1;"Wemos-Lolin";;;
17;"D4";"Diode_bridge";1;"DiodeBridge";;;
18;"U6";"DS3231";1;"DS3231N";;;
19;"U5";"TDFN-10";1;"MAX17502FATB+T";;;
20;"BT1";"CR2032_SMD2";1;"Batt_RTC";;;
21;"TP1";"Pin_Header_Straight_1x01";1;"~RST";;;
22;"TP2";"Pin_Header_Straight_1x01";1;"SQR";;;
23;"TP3";"Pin_Header_Straight_1x01";1;"32kHz";;;
24;"C8,C7";"C_0805";2;"100nF";;;
25;"C9";"C_0805";1;"100nF,100V";;;
26;"C11";"C_0805";1;"2.2uF,50V";;;
27;"C12";"C_0805";1;"1uF";;;
28;"C13";"C_0805";1;"3.3nF";;;
29;"C14";"C_0805";1;"10uF";;;
30;"C15";"C_0805";1;"4.7uF";;;
31;"R1,R5,R7,R12,R13,R17";"R_0805";6;"360";;;
32;"R2,R8,R14,R23,R24,R25";"R_0805";6;"0E";;;
33;"R3,R9,R15";"R_0805";3;"200";;;
34;"R4,R10,R16";"R_0805";3;"300";;;
35;"R6,R11,R18";"R_0805";3;"39";;;
36;"R19,R20,R21,R22,R26,R27";"R_0805";6;"10k";;;
37;"L2,L4";"R_0805";2;"330E";;;
38;"R28,R29";"R_0805";2;"4K7";;;
39;"J13";"USB_Micro-B_Molex-105017-0001";1;"USB_microAB";;;
40;"U1,U2,U3";"Optocoupler_6pin_smd";3;"MOC3063M";;;
41;"J5";"Pin_Header_Straight_1x04";1;"I2C_ext1";;;
42;"J2";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT1";;;
43;"J1";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"24 V AC IN";;;
44;"J3";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT2";;;
45;"J4";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT3";;;
46;"D1,D2,D3";"LED_0603";3;"LED";;;
47;"F1";"Fuse_SMD2920";1;"Polyfuse";;;
48;"J16";"Pin_Header_Straight_1x04";1;"5V_SEL";;;
49;"JP1,JP2,JP3";"LED_0402";3;"LED_en";;;
50;"L1";"Inductor_ELL8TP";1;"22uH";;;
51;"JP4";"LED_0402";1;"GND";;;
52;"SC1,SC2,SC3,SC4";"MountingHole_3.2mm_M3_Pad_Via";4;"SCREW";;;
53;"G1";"Logo-WL3";1;"LOGO_WL";;;
54;"G2";"OSHW_6mm";1;"OSHW";;;
55;"G3";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad";;;
56;"C10";"CP_Elec_10x10";1;"100uF,50V";;;
57;"D5";"D_SOD-323_HandSoldering";1;"CDSOD323-T05L";;;
